,date,temps_enso,ghg_temp,aero_temp,nat_temp
3264,2022.0,1.261550,1.6795087941861337,-0.48774557345347824,-0.04265981834438898
3276,2023.0,1.554050,1.6973007727297942,-0.48512733175145734,-0.037469775260396965
3288,2024.0,1.635883,1.7147419999227473,-0.4823004425517371,-0.034877384219387395
3300,2025.0,,1.7319337510065038,-0.4793046757930739,-0.03530018880899689
3312,2026.0,,1.748957973785323,-0.4761710031489763,-0.03889466499030776
3324,2027.0,,1.7658779586159121,-0.4729235402986682,-0.04359435912187366
3336,2028.0,,1.7827332707283579,-0.46958106334871347,-0.04737050440640415
3348,2029.0,,1.7995420117211076,-0.4661581905784728,-0.04998990302581752
3360,2030.0,,1.8163123909546073,-0.462680134875077,-0.05178096284691219
3372,2031.0,,1.8330503185184335,-0.4594640454152763,-0.052681257173667985
3384,2032.0,,1.8497632152811179,-0.4570285660755454,-0.04913016205151462
3396,2033.0,,1.8664791441058433,-0.4554833178689907,-0.04211773268098657
3408,2034.0,,1.8832447328060828,-0.4546314087650893,-0.03683071059748873
3420,2035.0,,1.9001062920158145,-0.4543194970784193,-0.03420473650804623
3432,2036.0,,1.9171033521193015,-0.45442816266294705,-0.03461727014709631
3444,2037.0,,1.9342629293657398,-0.45486439975848525,-0.038210041497678475
3456,2038.0,,1.9516004819440074,-0.455555774238053,-0.04291117222343058
3468,2039.0,,1.9691143228904378,-0.45644587505046896,-0.0466898999403492
3480,2040.0,,1.9867870913182815,-0.45748188938456447,-0.0493122927418251
3492,2041.0,,2.004596560535005,-0.45843172573865165,-0.051106488485153825
3504,2042.0,,2.0225223766557807,-0.4589403683790281,-0.052009961189722766
3516,2043.0,,2.0405542785772415,-0.4589203468285259,-0.048462050422333154
3528,2044.0,,2.0586823986176963,-0.4584847407308174,-0.04145279800969427
3540,2045.0,,2.0769069605277637,-0.45772161842432035,-0.03616894061294919
3552,2046.0,,2.0952562746034533,-0.4566995685828478,-0.033546117191458384
3564,2047.0,,2.1137685443248015,-0.4554720124869123,-0.03396178688198863
3576,2048.0,,2.1324802277933674,-0.4540805535711825,-0.037557679492752676
3588,2049.0,,2.151422077700811,-0.45255759592903705,-0.042261916667902626
3600,2050.0,,2.1706105049475557,-0.45093375262445656,-0.04604373606088263
3612,2051.0,,2.1900467597132236,-0.4493484900266832,-0.04866920582326316
3624,2052.0,,2.2097269167872025,-0.44801586731349996,-0.05046646387793489
3636,2053.0,,2.2296521712539894,-0.4469880353723303,-0.051372984312397986
3648,2054.0,,2.2498264481236903,-0.4461958618060719,-0.04782810676228314
3660,2055.0,,2.2702387779148445,-0.4455855018215157,-0.040821873123184305
3672,2056.0,,2.290880348193712,-0.44511501841339096,-0.03554102012494213
3684,2057.0,,2.311765511785731,-0.44475174740324885,-0.03292118679533937
3696,2058.0,,2.3329168052761724,-0.4444702462630967,-0.03333983233925827
3708,2059.0,,2.3543551641803266,-0.444250696657796,-0.03693868663270976
3720,2060.0,,2.3760966253364857,-0.44406256597478255,-0.04164587138732384
3732,2061.0,,2.3981439489914838,-0.4435574160454692,-0.04543062432370221
3744,2062.0,,2.420484328032461,-0.4421660181646812,-0.04805901366025341
3756,2063.0,,2.4430909592382646,-0.43976416748757935,-0.04985917738638805
3768,2064.0,,2.4659349972558426,-0.43656245067647453,-0.050768589655809486
3780,2065.0,,2.488996198786058,-0.4327246939970106,-0.047226590170036414
3792,2066.0,,2.512248172488282,-0.4283782918008848,-0.04022322089023703
3804,2067.0,,2.5356718621666876,-0.42362226189012403,-0.034945218611513944
3816,2068.0,,2.5592746788940737,-0.41853350744810025,-0.03232822242660113
3828,2069.0,,2.583075023050005,-0.41317170514187773,-0.03274969160502276
3840,2070.0,,2.6070919800408463,-0.40759024473729405,-0.036351356087123865
3852,2071.0,,2.631341766814443,-0.4019842658814348,-0.04106133764856221
3864,2072.0,,2.6558279019450897,-0.39664741380124213,-0.04484887407366232
3876,2073.0,,2.6805106690764067,-0.39165811305213394,-0.04748003364425217
3888,2074.0,,2.7053253836023043,-0.38693199667682404,-0.04928295441285979
3900,2075.0,,2.730223143028201,-0.38240328492886616,-0.05019511059600539
3912,2076.0,,2.7551673167910686,-0.3780206732451065,-0.046655841957725416
3924,2077.0,,2.7801192948926703,-0.3737441252025272,-0.039655190521408076
3936,2078.0,,2.805050670143439,-0.36954237686400326,-0.03437989314407974
3948,2079.0,,2.82996181309987,-0.3653909956422466,-0.031765588980103225
3960,2080.0,,2.854866856069223,-0.3612787111391149,-0.032189737360338117
3972,2081.0,,2.879783130389096,-0.357365480568644,-0.03579406828617278
3984,2082.0,,2.904722820747355,-0.35393089433799596,-0.04050670359401762
3996,2083.0,,2.9295780843634596,-0.351026964066501,-0.04429688112866052
4008,2084.0,,2.9541561593911787,-0.34853437276889077,-0.04693066923210486
4020,2085.0,,2.9783143814707893,-0.346360189644358,-0.04873620601676757
4032,2086.0,,3.0019502571618344,-0.34443202982374793,-0.04965096575877256
4044,2087.0,,3.0249927756404387,-0.3426935124751213,-0.04611428828147609
4056,2088.0,,3.047382474704869,-0.3411007222819186,-0.039116215667303826
